code,name,description,is_enabled,extra
A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,OTRAS INFECCIONES DEBIDAS SALMONELLA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A029,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA",OTRAS INFECCIONES DEBIDAS SALMONELLA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,SHIGELOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,SHIGELOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,SHIGELOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,SHIGELOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A038,OTRAS SHIGELOSIS,SHIGELOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A039,SHIGELOSIS DE TIPO NO ESPECIFICADO,SHIGELOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A040,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A041,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A042,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A043,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A045,ENTERITIS DEBIDA A CAMPYLOBACTER,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,OTRAS INFECCIONES INTESTINALES BACTERIANAS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A049,"INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA",OTRAS INFECCIONES INTESTINALES BACTERIANAS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A050,INTOXICACION ALIMENTARIA ESTAFILOCOCICA,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A051,BOTULISMO,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A052,INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII],OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A053,INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A054,INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A058,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A059,"INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA",OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A060,DISENTERIA AMEBIANA AGUDA,AMEBIASIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A061,AMEBIASIS INTESTINAL CRONICA,AMEBIASIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A062,COLITIS AMEBIANA NO DISENTERICA,AMEBIASIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A063,AMEBOMA INTESTINAL,AMEBIASIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A064,ABSCESO AMEBIANO DEL HIGADO,AMEBIASIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A065,ABSCESO AMEBIANO DEL PULMON,AMEBIASIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A066,ABSCESO AMEBIANO DEL CEREBRO,AMEBIASIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A067,AMEBIASIS CUTANEA,AMEBIASIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A068,INFECCION AMEBIANA DE OTRAS LOCALIZACIONES,AMEBIASIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A069,"AMEBIASIS, NO ESPECIFICADA",AMEBIASIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A070,BALANTIDIASIS,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A071,GIARDIASIS [LAMBLIASIS],OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A072,CRIPTOSPORIDIOSIS,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A073,ISOSPORIASIS,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A078,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A079,"ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA",OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A080,ENTERITIS DEBIDA A ROTAVIRUS,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A081,GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A082,ENTERITIS DEBIDA A ADENOVIRUS,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A083,OTRAS ENTERITIS VIRALES,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A084,"INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION",INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A085,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A090,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A099,GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A09X,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,SI,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
A150,"TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A151,"TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A152,"TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A153,"TUBERCULOSIS DEL PULMON, CONFIRMADA POR MEDIOS NO ESPECIFICADOS","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A154,"TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A155,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A156,"PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A157,"TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A158,"OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A159,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A160,"TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A161,"TUBERCULOSIS DE PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A162,"TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A163,"TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A164,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A165,"PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A167,"TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A168,"OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A169,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A170,MENINGITIS TUBERCULOSA,TUBERCULOSIS DEL SISTEMA NERVIOSO,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A171,TUBERCULOMA MENINGEO,TUBERCULOSIS DEL SISTEMA NERVIOSO,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A178,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO,TUBERCULOSIS DEL SISTEMA NERVIOSO,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A179,"TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA",TUBERCULOSIS DEL SISTEMA NERVIOSO,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A180,TUBERCULOSIS DE HUESOS Y ARTICULACIONES,TUBERCULOSIS DE OTROS ORGANOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A181,TUBERCULOSIS DEL APARATO GENITOURINARIO,TUBERCULOSIS DE OTROS ORGANOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A182,LINFADENOPATIA PERIFERICA TUBERCULOSA,TUBERCULOSIS DE OTROS ORGANOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A183,"TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS",TUBERCULOSIS DE OTROS ORGANOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A184,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO,TUBERCULOSIS DE OTROS ORGANOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A185,TUBERCULOSIS DEL OJO,TUBERCULOSIS DE OTROS ORGANOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A186,TUBERCULOSIS DEL OIDO,TUBERCULOSIS DE OTROS ORGANOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A187,TUBERCULOSIS DE GLANDULAS SUPRARRENALES,TUBERCULOSIS DE OTROS ORGANOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A188,TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS,TUBERCULOSIS DE OTROS ORGANOS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A190,TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO,TUBERCULOSIS MILIAR,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A191,TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES,TUBERCULOSIS MILIAR,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A192,"TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA",TUBERCULOSIS MILIAR,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A198,OTRAS TUBERCULOSIS MILIARES,TUBERCULOSIS MILIAR,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A199,"TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION",TUBERCULOSIS MILIAR,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A200,PESTE BUBONICA,PESTE,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A201,PESTE CELULOCUTANEA,PESTE,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A202,PESTE NEUMONICA,PESTE,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A203,MENINGITIS POR PESTE,PESTE,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A207,PESTE SEPTICEMICA,PESTE,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A208,OTRAS FORMAS DE PESTE,PESTE,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A209,"PESTE, NO ESPECIFICADA",PESTE,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A210,TULAREMIA ULCEROGLANDULAR,TULAREMIA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A211,TULAREMIA OCULOGLANDULAR,TULAREMIA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A212,TULAREMIA PULMONAR,TULAREMIA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A213,TULAREMIA GASTROINTESTINAL,TULAREMIA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A217,TULAREMIA GENERALIZADA,TULAREMIA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A218,OTRAS FORMAS DE TULAREMIA,TULAREMIA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A219,"TULAREMIA, NO ESPECIFICADA",TULAREMIA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A220,CARBUNCO CUTANEO,CARBUNCO [ ANTRAX ],SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A221,CARBUNCO PULMONAR,CARBUNCO [ ANTRAX ],SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A222,CARBUNCO GASTROINTESTINAL,CARBUNCO [ ANTRAX ],SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A227,CARBUNCO SEPTICO,CARBUNCO [ ANTRAX ],SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A228,OTRAS FORMAS DE CARBUNCO,CARBUNCO [ ANTRAX ],SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A229,"CARBUNCO, NO ESPECIFICADO",CARBUNCO [ ANTRAX ],SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A230,BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS,BRUCELOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A231,BRUCELOSIS DEBIDA A BRUCELLA ABORTUS,BRUCELOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A232,BRUCELOSIS DEBIDA A BRUCELLA SUIS,BRUCELOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A233,BRUCELOSIS DEBIDA A BRUCELLA CANIS,BRUCELOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A238,OTRAS BRUCELOSIS,BRUCELOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A239,"BRUCELOSIS, NO ESPECIFICADA",BRUCELOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A240,MUERMO,MUERMO Y MELIOIDOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A241,MELIOIDOSIS AGUDA Y FULMINANTE,MUERMO Y MELIOIDOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A242,MELIOIDOSIS SUBAGUDA Y CRONICA,MUERMO Y MELIOIDOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A243,OTRAS MELIOIDOSIS,MUERMO Y MELIOIDOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A244,"MELIOIDOSIS, NO ESPECIFICADA",MUERMO Y MELIOIDOSIS,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
A250,ESPIRILOSIS,FIEBRES POR MORDEDURA DE RATA,SI,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)
